Geocoding;Georeferenzierung
Geocoding for;Georeferenzierung für
This ressource has low accuracy. New geocoding is recommended.;Diese Resource hat eine niedrige Genauigkeit. Erneute Georeferenzierung wird empfohlen.
Geocode will be performed using this address;Diese Adresse zur Georeferenzierung verwenden
Geocode this ressource;Georeferenzierung ausführen
Geocoding results for;Ergebnisse der Georeferenzierung für
Use this;Verwenden
Latitude;Breitengrad
Longitude;Längengrad
Lat;Br
Lon;Län
Status;Status
More results;Mehr Ergebnisse
Accuracy (higher is better);Genauigkeit (höher ist besser)
Saving…;Speichern…
New coordinates have been saved.;Neue Koordinaten wurden gespeichert.
Click here to reload this page;Seite neu laden
Unfortunately no geocoding results were returned. Please try a different name.;Georeferenzierung lieferte leider keine Ergebnisse. Bitte versuchen Sie es mit einem anderen Namen.
Set location manually;Markierung manuell setzen
Leave manual placement mode;Manuellen Markierungsmodus verlassen
Manually placed marker;Manuelle Markierung
Not set;Nicht gesetzt
Set;Markiert
